;경력;학력;지역;임금;고용형태;근무형태;복리후생;기업명;업종;기업규모;설립년도;연매출액;홈페이지;근로자수
124;3.0;대졸이상;경기도;3600;기간의정함이없는근로계약;주5일근무;식사제공(1식);한넷아이티;옥외및전시광고업;;0;3,000백만원;www.hannetit.co.kr;5
125;3.0;학력무관;경기도;3000;기간의정함이있는근로계약;주5일근무;식사제공(1식);코리아싸인;기타조명장치제조업;중소기업;2010;;www.koreasign.co.kr;20
126;3.0;학력무관;전라북도;3420;기간의정함이없는근로계약;주5일근무;차량유지비제공;첫눈;일반통신공사업;중소기업;2011;;www.1stnoon.co.kr;20
127;3.0;대졸이상;강원특별자치도;5000;기간의정함이없는근로계약;주5일근무;식사제공(1식);메디코슨;그외기타의료용기기제조업;중소기업;2019;;-;26
128;3.0;대졸이상;경상북도;3000;기간의정함이없는근로계약;주5일근무;기숙사제공식사제공(중식비지급);유징테크;시스템소프트웨어개발및공급업;중소기업;2001;3,000백만원;www.usingtech.co.kr;23
129;3.0;학력무관;전라북도;5000;기간의정함이없는근로계약;주5일근무;식사제공(1식);유한회사위드시스템;응용소프트웨어개발및공급업;중소기업;2021;;-;8
130;5.0;대졸이상;광주광역시;4980;기간의정함이없는근로계약;주5일근무;;엘앤에이치랩스;컴퓨터프로그래밍서비스업;중소기업;2020;;-;6
131;3.0;대졸이상;서울특별시;3000;기간의정함이없는근로계약;주5일근무;;투피알;기타정보기술및컴퓨터운영관련서비스업;중소기업;2017;1,163백만원;www.2pr.kr;6
132;3.0;대졸이상;서울특별시;5000;기간의정함이없는근로계약;주5일근무;;골든어스;컴퓨터시스템통합자문및구축서비스업;중소기업;2022;;-;4
133;7.0;대졸이상;인천광역시;4000;기간의정함이없는근로계약;주5일근무;;에스브이엠테크;그외기타특수목적용기계제조업;중소기업;2011;9,000백만원;www.svmtech.co.kr;21
134;3.0;학력무관;서울특별시;4250;기간의정함이없는근로계약;주5일근무;식사제공(1식);씨앤앨;컴퓨터프로그래밍서비스업;중소기업;2018;6백만원;-;6
135;3.0;대졸이상;경상남도;4500;기간의정함이없는근로계약;주5일근무;식사제공(1식);신성일렉트로닉스;그외기타전자부품제조업;중소기업;2012;5,601백만원;www.anelec.co.kr;63
136;6.0;대졸이상;경기도;5300;기간의정함이없는근로계약;주5일근무;식사제공(1식);한국아이오티기술원;방송장비제조업;중소기업;2003;3,500백만원;www.kiot21.com;22
137;3.0;대졸이상;대구광역시;3950;기간의정함이없는근로계약;주5일근무;;영진직업전문학교;기타기술및직업훈련학원;중소기업;0;;www.yjjob.or.kr;38
138;3.0;대졸이상;대구광역시;3500;기간의정함이없는근로계약;주5일근무;;영진직업전문학교;기타기술및직업훈련학원;중소기업;0;;www.yjjob.or.kr;38
139;5.0;고졸이상;인천광역시;4500;기간의정함이없는근로계약;주5일근무;식사제공(중식비지급);기윤;컴퓨터프로그래밍서비스업;중소기업;2021;300백만원;-;4
